id,original_name,english_name,ref,import_id,eumadb_url,url,source_gpx_url,source_geojson_url,member_acronym
17573,"Sentiero europeo E1, Italia - Umbria/Marche",,E1,9074536,https://prod.eumadb.webmapp.it/resources/trails/17573,https://openstreetmap.org/relation/9074536,https://hiking.waymarkedtrails.org/api/v1/details/relation/9074536/geometry/gpx,,ERA
3715,117,,117,8791,https://prod.eumadb.webmapp.it/resources/trails/3715,https://osm2cai.cai.it/hiking-route/id/8791,"",https://osm2cai.cai.it/api/v1/hiking-route/8791,CAI
4926,7,,7,8717,https://prod.eumadb.webmapp.it/resources/trails/4926,https://osm2cai.cai.it/hiking-route/id/8717,"",https://osm2cai.cai.it/api/v1/hiking-route/8717,CAI
1391,Tivanovo - Srednjak,,211,01_02_11,https://prod.eumadb.webmapp.it/resources/trails/1391,https://www.hps.hr/karta/index.html?track=01_02_11.gpx&number=211&naziv=Tivanovo - Srednjak&area=krndija,https://www.hps.hr/karta/gpx/01_02_11x.gpx,"",HPS
18255,Andraž nad Polzelo - Gora Oljka,,"",31586,https://prod.eumadb.webmapp.it/resources/trails/18255,https://mapzs.pzs.si/path/31586,https://mapzs.pzs.si/api/tracks/31586/gpx,"",PZS
1336,Pl. dom Petrov Vrh - Veliki Javornik,,101,01_01_01X,https://prod.eumadb.webmapp.it/resources/trails/1336,https://www.hps.hr/karta/index.html?track=01_01_01X.gpx&number=101&naziv=Pl. dom Petrov Vrh - Veliki Javornik&area=papuk,https://www.hps.hr/karta/gpx/01_01_01Xx.gpx,"",HPS
1337,Veliki Javornik - Selo Španovica,,101,01_01_01Y,https://prod.eumadb.webmapp.it/resources/trails/1337,https://www.hps.hr/karta/index.html?track=01_01_01Y.gpx&number=101&naziv=Veliki Javornik - Selo Španovica&area=papuk,https://www.hps.hr/karta/gpx/01_01_01Yx.gpx,"",HPS
5112,507,,507,13678,https://prod.eumadb.webmapp.it/resources/trails/5112,https://osm2cai.cai.it/hiking-route/id/13678,"",https://osm2cai.cai.it/api/v1/hiking-route/13678,CAI
17574,European Long distance path E1 - part Italy - Tuscany,,E1,12419644,https://prod.eumadb.webmapp.it/resources/trails/17574,https://openstreetmap.org/relation/12419644,https://hiking.waymarkedtrails.org/api/v1/details/relation/12419644/geometry/gpx,,ERA
5113,Alta via dei Monti Lattari - 01,,300,14619,https://prod.eumadb.webmapp.it/resources/trails/5113,https://osm2cai.cai.it/hiking-route/id/14619,"",https://osm2cai.cai.it/api/v1/hiking-route/14619,CAI
5114,(SI V06) Segesta - Alcamo,,SI,9094,https://prod.eumadb.webmapp.it/resources/trails/5114,https://osm2cai.cai.it/hiking-route/id/9094,"",https://osm2cai.cai.it/api/v1/hiking-route/9094,CAI
3156,440B,,440B,166,https://prod.eumadb.webmapp.it/resources/trails/3156,https://osm2cai.cai.it/hiking-route/id/166,"",https://osm2cai.cai.it/api/v1/hiking-route/166,CAI
11209,O391A,,O391A,4134,https://prod.eumadb.webmapp.it/resources/trails/11209,https://osm2cai.cai.it/hiking-route/id/4134,"",https://osm2cai.cai.it/api/v1/hiking-route/4134,CAI
1411,Španovica - Omanovac,,301,01_03_01A1,https://prod.eumadb.webmapp.it/resources/trails/1411,https://www.hps.hr/karta/index.html?track=01_03_01A1.gpx&number=301&naziv=Španovica - Omanovac&area=psunj,https://www.hps.hr/karta/gpx/01_03_01A1x.gpx,"",HPS
10880,M16b - Laurenzo - Orsera,,M16B,8013,https://prod.eumadb.webmapp.it/resources/trails/10880,https://osm2cai.cai.it/hiking-route/id/8013,"",https://osm2cai.cai.it/api/v1/hiking-route/8013,CAI
17575,European Long distance path E1 - part Italy - Liguria,,E1,9061966,https://prod.eumadb.webmapp.it/resources/trails/17575,https://openstreetmap.org/relation/9061966,https://hiking.waymarkedtrails.org/api/v1/details/relation/9061966/geometry/gpx,,ERA
1412,Omanovac - Brezovo polje,,301,01_03_01A2,https://prod.eumadb.webmapp.it/resources/trails/1412,https://www.hps.hr/karta/index.html?track=01_03_01A2.gpx&number=301&naziv=Omanovac - Brezovo polje&area=psunj,https://www.hps.hr/karta/gpx/01_03_01A2x.gpx,"",HPS
6522,Raccordo Strategico-Como Sentieri di Rovenna-Ferrovia,,"",17896,https://prod.eumadb.webmapp.it/resources/trails/6522,https://osm2cai.cai.it/hiking-route/id/17896,"",https://osm2cai.cai.it/api/v1/hiking-route/17896,CAI
4125,Sentiero della Val di Lares,,O214,6475,https://prod.eumadb.webmapp.it/resources/trails/4125,https://osm2cai.cai.it/hiking-route/id/6475,"",https://osm2cai.cai.it/api/v1/hiking-route/6475,CAI
4123,Vesio - Passo Nota,,106,7623,https://prod.eumadb.webmapp.it/resources/trails/4123,https://osm2cai.cai.it/hiking-route/id/7623,"",https://osm2cai.cai.it/api/v1/hiking-route/7623,CAI
4127,O408,,O408,15212,https://prod.eumadb.webmapp.it/resources/trails/4127,https://osm2cai.cai.it/hiking-route/id/15212,"",https://osm2cai.cai.it/api/v1/hiking-route/15212,CAI
2743,Solinska strana - Splitov klinčani put,,255,18_02_55,https://prod.eumadb.webmapp.it/resources/trails/2743,https://www.hps.hr/karta/index.html?track=18_02_55.gpx&number=255&naziv=Solinska strana - Splitov klinčani put&area=kozjak_iznad_kastela,https://www.hps.hr/karta/gpx/18_02_55x.gpx,"",HPS
3157,E343A,,E343A,6605,https://prod.eumadb.webmapp.it/resources/trails/3157,https://osm2cai.cai.it/hiking-route/id/6605,"",https://osm2cai.cai.it/api/v1/hiking-route/6605,CAI
10881,M37a - Bivio M37 - La Cailina Bivio M39,,M37A,9465,https://prod.eumadb.webmapp.it/resources/trails/10881,https://osm2cai.cai.it/hiking-route/id/9465,"",https://osm2cai.cai.it/api/v1/hiking-route/9465,CAI
17577,European Long distance path E1 - part Italy - Lombardy,,E1,9050143,https://prod.eumadb.webmapp.it/resources/trails/17577,https://openstreetmap.org/relation/9050143,https://hiking.waymarkedtrails.org/api/v1/details/relation/9050143/geometry/gpx,,ERA
17576,European Long distance path E1 - part Italy - Piedmont,,E1,9050588,https://prod.eumadb.webmapp.it/resources/trails/17576,https://openstreetmap.org/relation/9050588,https://hiking.waymarkedtrails.org/api/v1/details/relation/9050588/geometry/gpx,,ERA
10882,S16 Cursolo - Alpe Pluni,,S16,7810,https://prod.eumadb.webmapp.it/resources/trails/10882,https://osm2cai.cai.it/hiking-route/id/7810,"",https://osm2cai.cai.it/api/v1/hiking-route/7810,CAI
2745,Spojni put: 216 - 218,,257,18_02_57,https://prod.eumadb.webmapp.it/resources/trails/2745,https://www.hps.hr/karta/index.html?track=18_02_57.gpx&number=257&naziv=Spojni put: 216 - 218&area=kozjak_iznad_kastela,https://www.hps.hr/karta/gpx/18_02_57x.gpx,"",HPS
3161,142,,142,4357,https://prod.eumadb.webmapp.it/resources/trails/3161,https://osm2cai.cai.it/hiking-route/id/4357,"",https://osm2cai.cai.it/api/v1/hiking-route/4357,CAI
1396,Kutjevo - Dobra voda,,220,01_02_20,https://prod.eumadb.webmapp.it/resources/trails/1396,https://www.hps.hr/karta/index.html?track=01_02_20.gpx&number=220&naziv=Kutjevo - Dobra voda&area=krndija,https://www.hps.hr/karta/gpx/01_02_20x.gpx,"",HPS
4128,Sentiero del Matrunolo,,132,6487,https://prod.eumadb.webmapp.it/resources/trails/4128,https://osm2cai.cai.it/hiking-route/id/6487,"",https://osm2cai.cai.it/api/v1/hiking-route/6487,CAI
4859,Stella San Martino - Pian di Stella,,623,13604,https://prod.eumadb.webmapp.it/resources/trails/4859,https://osm2cai.cai.it/hiking-route/id/13604,"",https://osm2cai.cai.it/api/v1/hiking-route/13604,CAI
4599,Cerreto-Certo Piano,,336,3115,https://prod.eumadb.webmapp.it/resources/trails/4599,https://osm2cai.cai.it/hiking-route/id/3115,,https://osm2cai.cai.it/api/v1/hiking-route/3115,CAI
4375,Strada del Parco - Monte Cornetto - Percorso 901,,919,8337,https://prod.eumadb.webmapp.it/resources/trails/4375,https://osm2cai.cai.it/hiking-route/id/8337,"",https://osm2cai.cai.it/api/v1/hiking-route/8337,CAI
4376,G2,,G2,12731,https://prod.eumadb.webmapp.it/resources/trails/4376,https://osm2cai.cai.it/hiking-route/id/12731,"",https://osm2cai.cai.it/api/v1/hiking-route/12731,CAI
1424,Sklonište Točkica - Zidine Bijela stijena,,311,01_03_11,https://prod.eumadb.webmapp.it/resources/trails/1424,https://www.hps.hr/karta/index.html?track=01_03_11.gpx&number=311&naziv=Sklonište Točkica - Zidine Bijela stijena&area=psunj,https://www.hps.hr/karta/gpx/01_03_11x.gpx,"",HPS
20204,Pöržov mlin-Rak,,,30878,https://prod.eumadb.webmapp.it/resources/trails/20204,https://mapzs.pzs.si/path/30878,https://mapzs.pzs.si/api/tracks/30878/gpx,,PZS
8629,Raccordo 636 – La Costa – 636,,636A,19366,https://prod.eumadb.webmapp.it/resources/trails/8629,https://osm2cai.cai.it/hiking-route/id/19366,"",https://osm2cai.cai.it/api/v1/hiking-route/19366,CAI
18254,Andraž nad Polzelo - Rogeljškova Kapela,,"",31347,https://prod.eumadb.webmapp.it/resources/trails/18254,https://mapzs.pzs.si/path/31347,https://mapzs.pzs.si/api/tracks/31347/gpx,"",PZS
1428,Ivanovac - Džankina livada,,315,01_03_15,https://prod.eumadb.webmapp.it/resources/trails/1428,https://www.hps.hr/karta/index.html?track=01_03_15.gpx&number=315&naziv=Ivanovac - Džankina livada&area=psunj,https://www.hps.hr/karta/gpx/01_03_15x.gpx,"",HPS
1429,Muški bunar - Strmac,,316,01_03_16,https://prod.eumadb.webmapp.it/resources/trails/1429,https://www.hps.hr/karta/index.html?track=01_03_16.gpx&number=316&naziv=Muški bunar - Strmac&area=psunj,https://www.hps.hr/karta/gpx/01_03_16x.gpx,"",HPS
2748,Orlovača,,301,18_03_01,https://prod.eumadb.webmapp.it/resources/trails/2748,https://www.hps.hr/karta/index.html?track=18_03_01.gpx&number=301&naziv=Orlovača&area=dalmacija,https://www.hps.hr/karta/gpx/18_03_01x.gpx,"",HPS
12250,S05 Cannobio - Monte Carza,,S05,8737,https://prod.eumadb.webmapp.it/resources/trails/12250,https://osm2cai.cai.it/hiking-route/id/8737,"",https://osm2cai.cai.it/api/v1/hiking-route/8737,CAI
1392,Feričanci - Srednjak,,212,01_02_12,https://prod.eumadb.webmapp.it/resources/trails/1392,https://www.hps.hr/karta/index.html?track=01_02_12.gpx&number=212&naziv=Feričanci - Srednjak&area=krndija,https://www.hps.hr/karta/gpx/01_02_12x.gpx,"",HPS
5111,Sentiero delle Fontanelle,,425e,25956,https://prod.eumadb.webmapp.it/resources/trails/5111,https://osm2cai.cai.it/hiking-route/id/25956,"",https://osm2cai.cai.it/api/v1/hiking-route/25956,CAI
5622,742,,742,11452,https://prod.eumadb.webmapp.it/resources/trails/5622,https://osm2cai.cai.it/hiking-route/id/11452,"",https://osm2cai.cai.it/api/v1/hiking-route/11452,CAI
7721,Sentiero dei Santuari - Alessandro Davite,,727,16805,https://prod.eumadb.webmapp.it/resources/trails/7721,https://osm2cai.cai.it/hiking-route/id/16805,"",https://osm2cai.cai.it/api/v1/hiking-route/16805,CAI
3375,Lago Nero - Fontana Gelata - Passo della Roncalla - Percorso 001,,11,20677,https://prod.eumadb.webmapp.it/resources/trails/3375,https://osm2cai.cai.it/hiking-route/id/20677,"",https://osm2cai.cai.it/api/v1/hiking-route/20677,CAI
3189,407,,407,4803,https://prod.eumadb.webmapp.it/resources/trails/3189,https://osm2cai.cai.it/hiking-route/id/4803,"",https://osm2cai.cai.it/api/v1/hiking-route/4803,CAI
1436,Krndijski put,,323,01_03_23,https://prod.eumadb.webmapp.it/resources/trails/1436,https://www.hps.hr/karta/index.html?track=01_03_23.gpx&number=323&naziv=Krndijski put&area=psunj,https://www.hps.hr/karta/gpx/01_03_23x.gpx,"",HPS
3190,Casperia-Valle Ferrara,,360,18984,https://prod.eumadb.webmapp.it/resources/trails/3190,https://osm2cai.cai.it/hiking-route/id/18984,"",https://osm2cai.cai.it/api/v1/hiking-route/18984,CAI
10889,S01f Creves - Provola,,S01F,5914,https://prod.eumadb.webmapp.it/resources/trails/10889,https://osm2cai.cai.it/hiking-route/id/5914,"",https://osm2cai.cai.it/api/v1/hiking-route/5914,CAI
5804,108 3V (Tappa 8 Via Verde Varesina),,108,12233,https://prod.eumadb.webmapp.it/resources/trails/5804,https://osm2cai.cai.it/hiking-route/id/12233,"",https://osm2cai.cai.it/api/v1/hiking-route/12233,CAI
